year,subject,num_occurences
1880,american,97
1881,washington, george,2
1883,cartoons (commentary),2
1884,cartoons (commentary),10
1885,cartoons (commentary),6
1886,sculpture,1
1887,cartoons (commentary),5
1888,american,2
1889,hammocks (furniture),1
1890,cartoons (commentary),7
1891,american,6
1892,cartoons (commentary),6
1893,american,25
1894,american,11
1895,american,28
1896,american,81
1898,bland, richard parks,1
1906,american,15
1907,comics,2
1910,dreaming,1
1912,lion hunting,1
1914,drawings,4
1915,world war,1
1916,drawings,2
1917,world war,1
1918,mars (roman deity),1
1919,united states,2
1921,schools,1
